pr_ref	commit	action	note
origin/pr/docker-uidgid-persistent-bin	855e37930c51145115f40848484d1bd83406322d	ALREADY_PRESENT	patch-id contained
origin/pr/docker-uidgid-persistent-bin	1881b93d224999eb2afb4ddc9cc9e5baa85d60ff	ALREADY_PRESENT	patch-id contained
origin/pr/docker-uidgid-persistent-bin	cc845c81804dadb71e39537dabd0bc183ddaca69	ALREADY_PRESENT	patch-id contained
origin/pr/docker-uidgid-persistent-bin	7d2e7ed17ac70683a7006477b9c10fb8f3c397c1	ALREADY_PRESENT	patch-id contained
origin/pr/docker-uidgid-persistent-bin	d612f29e07b59100ee5cd763d9126250d4afebc7	ALREADY_PRESENT	patch-id contained
origin/pr/docker-uidgid-persistent-bin	32bf09318326e5a7062d8d907d2e67767c09f8a1	ALREADY_PRESENT	patch-id contained
origin/pr/docker-uidgid-persistent-bin	2e796cc509e10714650c580dcb6162cd0b5aa28d	ALREADY_PRESENT	patch-id contained
origin/pr/fix-scoped-openclaw-package-root	c94a82aa7a1f471ae904f6341c32657bd5d4c68d	PICKED	clean
origin/pr/internal-hooks-clear-before-plugins	cc5b684372d5666c85be249def87ba05b77764ce	NEEDS_REVIEW	cherry-pick conflict
origin/pr/load-openclaw-plugins-async	21ef80ada1c7271d7d37541d16981927e4317d56	NEEDS_REVIEW	cherry-pick conflict
origin/pr/ui-hide-noop-tool-cards	69385e23a1beb964e033db3a2190bb8426303ef7	NEEDS_REVIEW	cherry-pick conflict
